,M_list_1,Average_list_1,F_mu_list_1,A_mu_list_1,M_list_2,Average_list_2,F_mu_list_2,A_mu_list_2
0,5.7154264,0.1494695,1.9819081,1.9787118,2.4031355,0.06323649,2.8341985,1.465074
1,7.7043314,0.15043794,1.981861,2.0283732,2.3963768,0.06395774,2.834212,1.710742
2,4.8178654,0.14675947,1.9818412,1.9691085,2.15428,0.062428463,2.8342228,1.5632744
3,5.8968635,0.14847592,1.981808,1.8782895,1.8950573,0.062404495,2.8342333,1.706012
4,8.892584,0.15425108,1.9818143,1.6117668,3.1066504,0.064749256,2.8341794,1.5430188
5,10.6041765,0.15239176,1.9818084,1.3679534,1.8152542,0.06387355,2.8341963,2.0269353
6,8.075137,0.15053388,1.9817575,1.9575613,2.8654792,0.06407988,2.8341253,1.7466459
7,9.457689,0.15093681,1.9817106,1.6032543,3.3533044,0.06511958,2.8340814,1.6557286
8,8.398058,0.14985344,1.9817518,1.8994887,3.0795665,0.06383914,2.8341022,1.7794499
9,7.2544465,0.14794996,1.9816853,2.2456646,2.9577098,0.06388803,2.8340504,1.6912053
10,8.41608,0.15139595,1.9816166,1.8743852,2.821328,0.06475421,2.8340297,1.8897911
11,10.118983,0.14997827,1.9815656,1.3990088,2.4052768,0.06399586,2.8340492,1.8074886
12,9.790638,0.15184249,1.981545,1.5283558,3.2236707,0.0648488,2.834028,1.5911531
13,5.0751524,0.14551888,1.9815582,1.9431709,2.2776804,0.062577486,2.8339915,1.6598297
14,8.588443,0.15351339,1.9815209,1.705738,2.7484903,0.06587411,2.8339965,1.6279693
15,7.8869586,0.14801185,1.9815276,1.9391996,2.679884,0.06416471,2.8339968,1.7242408
16,8.203417,0.14898357,1.9815401,1.7715694,2.9510217,0.06387167,2.8340206,1.6598349
17,8.576934,0.14830509,1.9815353,1.758169,2.6280725,0.06370856,2.8340213,1.5889416
18,7.045695,0.15032381,1.9815315,2.1458828,2.7016728,0.0641879,2.8340123,1.779999
19,6.408213,0.14936359,1.9815392,2.1913776,2.5623982,0.063978925,2.8340013,1.899242
20,6.7161827,0.15074965,1.9814806,2.0112195,2.356642,0.06534302,2.833993,1.6373192
21,8.631353,0.1499238,1.9814025,1.7127905,2.6441164,0.06337495,2.8339853,1.862591
22,8.240362,0.15125044,1.9813238,1.7300184,2.70696,0.06493129,2.8340163,1.5741737
23,7.46904,0.1517934,1.9812512,2.003485,2.7599037,0.06607652,2.8340244,1.6801507
24,9.741024,0.15763637,1.9812281,1.6579759,2.8732364,0.06752338,2.8340256,1.7408969
25,8.443172,0.14919522,1.98123,1.7584759,2.6152403,0.06407145,2.8340046,1.7042081
26,8.266246,0.15300797,1.981189,1.8177748,3.126538,0.06454696,2.8339624,1.9776651
27,8.911094,0.14938162,1.9811932,1.689109,2.8493347,0.064339876,2.833957,1.7663426
28,9.195356,0.15140948,1.981174,1.6607963,2.8021789,0.06503495,2.8339708,1.8867837
29,8.33318,0.15006083,1.9811845,1.6050105,2.7450898,0.06451042,2.8339539,1.4881232
30,6.930487,0.14963692,1.9811776,2.20459,1.9381089,0.06497189,2.8339727,1.7839788
31,7.769564,0.15183339,1.9811614,2.0194964,2.7186754,0.066177726,2.8339996,1.8120949
32,7.9969387,0.14949755,1.9811752,2.054925,2.6719637,0.06430622,2.8340526,1.7983328
33,8.287188,0.1483844,1.9811046,1.80471,2.6456113,0.06384254,2.83404,1.5008411
34,7.970342,0.14864944,1.9810816,1.9537811,2.7044904,0.06530178,2.8340776,1.797699
35,9.010431,0.15331495,1.9810966,1.7024109,2.5625772,0.065904126,2.8340654,1.9258556
36,9.556558,0.1501147,1.9810982,1.5945072,2.304403,0.06598762,2.8339877,1.8741083
37,9.72492,0.15389958,1.9810666,1.6384844,2.5582674,0.065111205,2.8339555,1.767259
38,9.690833,0.15245515,1.9809777,1.5809314,3.5791268,0.066897005,2.833921,1.6010185
39,9.554135,0.15035953,1.980908,1.6904778,3.2008653,0.065800704,2.8339117,1.6693381
40,7.808072,0.14438696,1.9809084,2.0776765,2.7573206,0.06372239,2.833847,1.7605566
41,10.322857,0.15586008,1.9809308,1.366622,3.0263696,0.06743081,2.833828,1.4211307
42,8.757402,0.15482868,1.9808985,1.7490602,2.6723683,0.06642687,2.8338697,1.6473901
43,4.939934,0.15021463,1.9808859,1.935384,2.3139114,0.066468224,2.8338714,1.6027145
44,7.6271644,0.1518533,1.980897,1.9676579,2.7425027,0.0663099,2.8338883,1.9120762
45,8.483152,0.15186578,1.9808799,1.7954971,3.0433989,0.06719272,2.8338683,1.8878827
46,9.706816,0.15189406,1.9808267,1.5587561,3.0808768,0.066733345,2.8338745,1.4416862
47,6.389992,0.14957602,1.9807806,2.1075072,2.6141102,0.066293105,2.8338575,1.6199725
